filename,file_path,label,duration,labeled,timestamp,notes,source_file
freesound_community-crying-baby-mergedwav-14538_5s_clip_0000.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0000.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0001.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0001.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0002.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0002.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0003.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0003.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0004.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0004.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0005.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0005.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0006.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0006.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0007.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0007.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0008.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0008.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0009.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0009.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0010.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0010.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0011.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0011.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0012.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0012.wav,cry,5,TRUE,,,
freesound_community-crying-baby-mergedwav-14538_5s_clip_0013.wav,C:\SINGAPORE POLY YEAR 2 SEM 2 OCT-MAR 2026\CIOT (ELECTIVE)\baby_monitoring\clips_5seconds\freesound_community-crying-baby-mergedwav-14538_5s_clip_0013.wav,cry,5,TRUE,,,
